,geometry,frecuencia_h,velocidad_promedio,Precipitacion,frecuencia_ni,Wind,Velocidad_promedio_NC
0,"POLYGON ((-117.12775999999985 7.220541490096537, -116.12775999999985 7.220541490096537, -116.12775999999985 8.220541490096537, -117.12775999999985 8.220541490096537, -117.12775999999985 7.220541490096537))",0,,0.9898010559616671,411,0.8246919059576457,45.14306569343066
1,"POLYGON ((-117.12775999999985 8.220541490096537, -116.12775999999985 8.220541490096537, -116.12775999999985 9.220541490096537, -117.12775999999985 9.220541490096537, -117.12775999999985 8.220541490096537))",0,,0.9519559221562522,411,0.8606345324738275,45.14306569343066
2,"POLYGON ((-117.12775999999985 9.220541490096537, -116.12775999999985 9.220541490096537, -116.12775999999985 10.220541490096537, -117.12775999999985 10.220541490096537, -117.12775999999985 9.220541490096537))",0,,0.9360317516896631,411,0.8831065233186602,45.14306569343066
3,"POLYGON ((-117.12775999999985 10.220541490096537, -116.12775999999985 10.220541490096537, -116.12775999999985 11.220541490096537, -117.12775999999985 11.220541490096537, -117.12775999999985 10.220541490096537))",0,,0.9810454179856156,411,0.8992867457225984,45.14306569343066
4,"POLYGON ((-117.12775999999985 11.220541490096537, -116.12775999999985 11.220541490096537, -116.12775999999985 12.220541490096537, -117.12775999999985 12.220541490096537, -117.12775999999985 11.220541490096537))",0,,1.0682594813277229,411,1.210238166198672,45.14306569343066
5,"POLYGON ((-117.12775999999985 12.220541490096537, -116.12775999999985 12.220541490096537, -116.12775999999985 13.220541490096537, -117.12775999999985 13.220541490096537, -117.12775999999985 12.220541490096537))",0,,1.2012545642749661,411,1.2310318623379854,45.14306569343066
6,"POLYGON ((-117.12775999999985 13.220541490096537, -116.12775999999985 13.220541490096537, -116.12775999999985 14.220541490096537, -117.12775999999985 14.220541490096537, -117.12775999999985 13.220541490096537))",0,,1.0388425059583637,411,1.1787460125972762,45.14306569343066
7,"POLYGON ((-117.12775999999985 14.220541490096537, -116.12775999999985 14.220541490096537, -116.12775999999985 15.220541490096537, -117.12775999999985 15.220541490096537, -117.12775999999985 14.220541490096537))",0,,0.8167871205195919,411,1.4351073004523283,45.14306569343066
8,"POLYGON ((-117.12775999999985 15.220541490096537, -116.12775999999985 15.220541490096537, -116.12775999999985 16.220541490096537, -117.12775999999985 16.220541490096537, -117.12775999999985 15.220541490096537))",0,,0.7718049992233104,411,1.4944383321698862,45.14306569343066
9,"POLYGON ((-117.12775999999985 16.220541490096537, -116.12775999999985 16.220541490096537, -116.12775999999985 17.220541490096537, -117.12775999999985 17.220541490096537, -117.12775999999985 16.220541490096537))",0,,0.713627374151251,411,1.3224846066840485,45.14306569343066
10,"POLYGON ((-117.12775999999985 17.220541490096537, -116.12775999999985 17.220541490096537, -116.12775999999985 18.220541490096537, -117.12775999999985 18.220541490096537, -117.12775999999985 17.220541490096537))",0,,0.7705401314589029,411,1.4525020473424546,45.14306569343066
11,"POLYGON ((-117.12775999999985 18.220541490096537, -116.12775999999985 18.220541490096537, -116.12775999999985 19.220541490096537, -117.12775999999985 19.220541490096537, -117.12775999999985 18.220541490096537))",0,,0.8800229221828868,411,1.3896677034348695,45.14306569343066
12,"POLYGON ((-117.12775999999985 19.220541490096537, -116.12775999999985 19.220541490096537, -116.12775999999985 20.220541490096537, -117.12775999999985 20.220541490096537, -117.12775999999985 19.220541490096537))",0,,0.9651223942824378,411,1.1281018875309345,45.14306569343066
13,"POLYGON ((-117.12775999999985 20.220541490096537, -116.12775999999985 20.220541490096537, -116.12775999999985 21.220541490096537, -117.12775999999985 21.220541490096537, -117.12775999999985 20.220541490096537))",0,,1.0558632035815971,411,1.249311381270867,45.14306569343066
14,"POLYGON ((-117.12775999999985 21.220541490096537, -116.12775999999985 21.220541490096537, -116.12775999999985 22.220541490096537, -117.12775999999985 22.220541490096537, -117.12775999999985 21.220541490096537))",0,,1.1701250516184771,411,1.0934680776568,45.14306569343066
15,"POLYGON ((-117.12775999999985 22.220541490096537, -116.12775999999985 22.220541490096537, -116.12775999999985 23.220541490096537, -117.12775999999985 23.220541490096537, -117.12775999999985 22.220541490096537))",0,,1.2523160550823964,411,1.0144224523979501,45.14306569343066
16,"POLYGON ((-117.12775999999985 23.220541490096537, -116.12775999999985 23.220541490096537, -116.12775999999985 24.220541490096537, -117.12775999999985 24.220541490096537, -117.12775999999985 23.220541490096537))",0,,1.2959459952209667,411,1.1162239519628012,45.14306569343066
17,"POLYGON ((-117.12775999999985 24.220541490096537, -116.12775999999985 24.220541490096537, -116.12775999999985 25.220541490096537, -117.12775999999985 25.220541490096537, -117.12775999999985 24.220541490096537))",0,,1.3370222177950808,411,1.0445873271930577,45.14306569343066
18,"POLYGON ((-117.12775999999985 25.220541490096537, -116.12775999999985 25.220541490096537, -116.12775999999985 26.220541490096537, -117.12775999999985 26.220541490096537, -117.12775999999985 25.220541490096537))",0,,,411,0.8227713328435483,45.14306569343066
19,"POLYGON ((-117.12775999999985 26.220541490096537, -116.12775999999985 26.220541490096537, -116.12775999999985 27.220541490096537, -117.12775999999985 27.220541490096537, -117.12775999999985 26.220541490096537))",0,,,411,0.9542365461604174,45.14306569343066
20,"POLYGON ((-117.12775999999985 27.220541490096537, -116.12775999999985 27.220541490096537, -116.12775999999985 28.220541490096537, -117.12775999999985 28.220541490096537, -117.12775999999985 27.220541490096537))",0,,,411,1.1198191215892466,45.14306569343066
