,geometry,Indicador_CHF,Indicador_CHF_Mod,Indicador_CHF_Mod2
0,"POLYGON ((-117.12775999999985 7.220541490096537, -116.12775999999985 7.220541490096537, -116.12775999999985 8.220541490096537, -117.12775999999985 8.220541490096537, -117.12775999999985 7.220541490096537))",0.0,,0.3096557694811769
1,"POLYGON ((-117.12775999999985 8.220541490096537, -116.12775999999985 8.220541490096537, -116.12775999999985 9.220541490096537, -117.12775999999985 9.220541490096537, -117.12775999999985 8.220541490096537))",0.0,,0.3107957984686149
2,"POLYGON ((-117.12775999999985 9.220541490096537, -116.12775999999985 9.220541490096537, -116.12775999999985 10.220541490096537, -117.12775999999985 10.220541490096537, -117.12775999999985 9.220541490096537))",0.0,,0.313576280918442
3,"POLYGON ((-117.12775999999985 10.220541490096537, -116.12775999999985 10.220541490096537, -116.12775999999985 11.220541490096537, -117.12775999999985 11.220541490096537, -117.12775999999985 10.220541490096537))",0.0,,0.3346777475893682
4,"POLYGON ((-117.12775999999985 11.220541490096537, -116.12775999999985 11.220541490096537, -116.12775999999985 12.220541490096537, -117.12775999999985 12.220541490096537, -117.12775999999985 11.220541490096537))",0.0,,0.49044140969128097
5,"POLYGON ((-117.12775999999985 12.220541490096537, -116.12775999999985 12.220541490096537, -116.12775999999985 13.220541490096537, -117.12775999999985 13.220541490096537, -117.12775999999985 12.220541490096537))",0.0,,0.5609754760615316
6,"POLYGON ((-117.12775999999985 13.220541490096537, -116.12775999999985 13.220541490096537, -116.12775999999985 14.220541490096537, -117.12775999999985 14.220541490096537, -117.12775999999985 13.220541490096537))",0.0,,0.4645254139930558
7,"POLYGON ((-117.12775999999985 14.220541490096537, -116.12775999999985 14.220541490096537, -116.12775999999985 15.220541490096537, -117.12775999999985 15.220541490096537, -117.12775999999985 14.220541490096537))",0.0,,0.44466483499392756
8,"POLYGON ((-117.12775999999985 15.220541490096537, -116.12775999999985 15.220541490096537, -116.12775999999985 16.220541490096537, -117.12775999999985 16.220541490096537, -117.12775999999985 15.220541490096537))",0.0,,0.4375474097108928
9,"POLYGON ((-117.12775999999985 16.220541490096537, -116.12775999999985 16.220541490096537, -116.12775999999985 17.220541490096537, -117.12775999999985 17.220541490096537, -117.12775999999985 16.220541490096537))",0.0,,0.3580153584319471
10,"POLYGON ((-117.12775999999985 17.220541490096537, -116.12775999999985 17.220541490096537, -116.12775999999985 18.220541490096537, -117.12775999999985 18.220541490096537, -117.12775999999985 17.220541490096537))",0.0,,0.4245721930923928
11,"POLYGON ((-117.12775999999985 18.220541490096537, -116.12775999999985 18.220541490096537, -116.12775999999985 19.220541490096537, -117.12775999999985 19.220541490096537, -117.12775999999985 18.220541490096537))",0.0,,0.4639214788038099
12,"POLYGON ((-117.12775999999985 19.220541490096537, -116.12775999999985 19.220541490096537, -116.12775999999985 20.220541490096537, -117.12775999999985 20.220541490096537, -117.12775999999985 19.220541490096537))",0.0,,0.41301920843519485
13,"POLYGON ((-117.12775999999985 20.220541490096537, -116.12775999999985 20.220541490096537, -116.12775999999985 21.220541490096537, -117.12775999999985 21.220541490096537, -117.12775999999985 20.220541490096537))",0.0,,0.5004006703302626
14,"POLYGON ((-117.12775999999985 21.220541490096537, -116.12775999999985 21.220541490096537, -116.12775999999985 22.220541490096537, -117.12775999999985 22.220541490096537, -117.12775999999985 21.220541490096537))",0.0,,0.4853755744336268
15,"POLYGON ((-117.12775999999985 22.220541490096537, -116.12775999999985 22.220541490096537, -116.12775999999985 23.220541490096537, -117.12775999999985 23.220541490096537, -117.12775999999985 22.220541490096537))",0.0,,0.4819170953601367
16,"POLYGON ((-117.12775999999985 23.220541490096537, -116.12775999999985 23.220541490096537, -116.12775999999985 24.220541490096537, -117.12775999999985 24.220541490096537, -117.12775999999985 23.220541490096537))",0.0,,0.548754093012672
17,"POLYGON ((-117.12775999999985 24.220541490096537, -116.12775999999985 24.220541490096537, -116.12775999999985 25.220541490096537, -117.12775999999985 25.220541490096537, -117.12775999999985 24.220541490096537))",0.0,,0.5298133632210124
18,"POLYGON ((-117.12775999999985 25.220541490096537, -116.12775999999985 25.220541490096537, -116.12775999999985 26.220541490096537, -117.12775999999985 26.220541490096537, -117.12775999999985 25.220541490096537))",0.0,,
19,"POLYGON ((-117.12775999999985 26.220541490096537, -116.12775999999985 26.220541490096537, -116.12775999999985 27.220541490096537, -117.12775999999985 27.220541490096537, -117.12775999999985 26.220541490096537))",0.0,,
20,"POLYGON ((-117.12775999999985 27.220541490096537, -116.12775999999985 27.220541490096537, -116.12775999999985 28.220541490096537, -117.12775999999985 28.220541490096537, -117.12775999999985 27.220541490096537))",0.0,,
21,"POLYGON ((-117.12775999999985 28.220541490096537, -116.12775999999985 28.220541490096537, -116.12775999999985 29.220541490096537, -117.12775999999985 29.220541490096537, -117.12775999999985 28.220541490096537))",0.0,,
22,"POLYGON ((-117.12775999999985 29.220541490096537, -116.12775999999985 29.220541490096537, -116.12775999999985 30.220541490096537, -117.12775999999985 30.220541490096537, -117.12775999999985 29.220541490096537))",0.0,,
23,"POLYGON ((-117.12775999999985 30.220541490096537, -116.12775999999985 30.220541490096537, -116.12775999999985 31.220541490096537, -117.12775999999985 31.220541490096537, -117.12775999999985 30.220541490096537))",0.0,,
24,"POLYGON ((-117.12775999999985 31.220541490096537, -116.12775999999985 31.220541490096537, -116.12775999999985 32.22054149009654, -117.12775999999985 32.22054149009654, -117.12775999999985 31.220541490096537))",0.0,,
